,District,PROSTITUTION,VEHICLE THEFT
0,CENTRAL,11,2121
1,NORTHERN,70,1193
2,INGLESIDE,5,2319
3,PARK,713,2063
4,MISSION,581,1879
5,TENDERLOIN,2,1207
6,RICHMOND,15,1081
7,TARAVAL,18,1426
8,BAYVIEW,10,1665
9,SOUTHERN,527,371
