,district,private,public
0,,0,0
1,CENTRAL,5792,4854
2,NORTHERN,3429,9671
3,INGLESIDE,2422,4883
4,PARK,1660,11375
5,MISSION,9376,14106
6,TENDERLOIN,1564,2114
7,RICHMOND,1808,8206
8,TARAVAL,1902,4322
9,BAYVIEW,2327,2597
10,SOUTHERN,4207,2717
