name,lat,lon
TARAVAL,37.734875,-122.496917
RICHMOND,37.775797,-122.504896
PARK,37.765446,-122.456038
CENTRAL,37.796171,-122.42245
INGLESIDE,37.725788,-122.454533
SOUTHERN,37.773868,-122.414549
TENDERLOIN,37.783658,-122.432837
NORTHERN,37.79069,-122.454377
BAYVIEW,37.727609,-122.40044
MISSION,37.756396,-122.430763
