,district,private,public
0,,0,0
1,CENTRAL,4471,6206
2,NORTHERN,2572,10532
3,INGLESIDE,1767,5506
4,PARK,1218,11800
5,MISSION,6426,17057
6,TENDERLOIN,960,2717
7,RICHMOND,1420,8595
8,TARAVAL,1401,4816
9,BAYVIEW,1730,3194
10,SOUTHERN,3174,3756
