,district,private,public
0,,0,0
1,CENTRAL,5841,4783
2,NORTHERN,3916,9174
3,INGLESIDE,2763,4491
4,PARK,2218,10823
5,MISSION,9874,13630
6,TENDERLOIN,1687,2017
7,RICHMOND,2164,7859
8,TARAVAL,2133,4097
9,BAYVIEW,2322,2571
10,SOUTHERN,4094,2859
