,district,private,public
0,,0,0
1,CENTRAL,5862,4787
2,NORTHERN,3566,9518
3,INGLESIDE,2423,4818
4,PARK,1677,11377
5,MISSION,9502,14039
6,TENDERLOIN,1522,2150
7,RICHMOND,1868,8144
8,TARAVAL,1968,4256
9,BAYVIEW,2306,2594
10,SOUTHERN,4111,2837
